,topk_ret,BLEU
0,Chunk10,0.05784915018928352
1,Chunk11,0.0577179522399889
2,Chunk12,0.05643333833713202
3,Chunk13,0.057182409307681946
4,Chunk15,0.05715288823982803
5,Chunk20,0.05693589753472187
6,Chunk25,0.05752067764892673
7,Chunk3,0.05782739929050361
8,Chunk5,0.05586976916976412
9,Chunk50,0.05936582548281423
10,Chunk7,0.05749268325771816
11,Chunk8,0.058431969800979214
12,Chunk9,0.05519113277815541
13,Document1,0.048306985924553326
14,Document2,0.046644952199156056
15,Document3,0.04645324513750614
16,Document4,0.04550228285533387
17,Neighbor12,0.05348567931213301
18,Neighbor25,0.05313455324246306
19,Neighbor3,0.054044885513998824
20,Neighbor4,0.051759330803155465
21,Neighbor50,0.048305231961085826
22,Neighbor7,0.05284773159335433
